,Palavra,Frequência
782,cortes,61
783,importante,61
784,alcançando,61
785,meta,61
786,combustíveis,61
787,situação,61
788,subindo,61
789,prévia,61
790,avança,60
791,atual,60
792,prevê,60
793,favoráveis,60
794,votos,60
795,vezes,60
796,trouxe,60
797,greve,60
798,negociada,59
799,crise,59
800,nasdaq,59
801,participações,59
802,importações,59
803,cotações,59
804,negociação,59
805,diretor,59
806,eleição,59
807,aprovou,59
808,brasília,59
809,tramitação,59
810,constituição,59
811,controlada,59
812,pauta,59
813,poderá,58
814,passou,58
815,bradespar,58
816,abriu,58
817,acumulado,58
818,avaliação,58
819,deputado,58
820,gestão,58
821,norte,58
822,tempo,58
823,rival,58
824,primeiros,58
825,diesel,58
826,guedes,58
827,smiles,57
828,fase,57
829,deverá,57
830,operacionais,57
831,ultrapar,57
832,adrs,57
833,médio,57
834,tensões,57
835,capacidade,56
836,busca,56
837,percentual,56
838,reduziu,56
839,psdb,56
840,considerado,56
841,planalto,56
842,ajudou,56
843,ccj,56
844,encerrando,56
845,preocupação,56
846,chinesa,55
847,anual,55
848,fazer,55
849,relator,55
850,fatores,55
851,presidencial,55
852,locais,55
853,mantendo,55
854,continuar,55
855,fontes,55
856,mundial,54
857,operadora,54
858,polícia,54
859,presidenteexecutivo,54
860,corrupção,54
861,indicador,54
862,estratégia,54
863,apetite,54
864,powell,54
865,saldo,54
866,percepção,53
867,fraca,53
868,informação,53
869,norteamericanos,53
870,cyrela,53
871,comando,53
872,judicial,53
873,europeia,53
874,onde,53
875,sinalização,53
876,margem,53
877,lerosa,53
878,piora,53
879,acrescentando,53
880,cortar,52
881,geração,52
882,contas,52
883,havia,52
884,qualquer,52
885,mostra,52
886,despesas,52
887,ganha,51
888,opep,51
889,dando,51
890,cosan,51
891,exportações,51
892,dentro,51
893,tecnologia,51
894,fusão,51
895,mg,51
896,semestre,51
897,boa,51
898,msci,51
899,adicional,51
900,desfecho,51
901,temores,51
902,respaldo,51
903,jerome,51
904,recuperandose,51
905,pequim,51
906,praças,51
907,conta,50
908,disparou,50
909,estrategistas,50
